date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2019-06-28,AFCON,Tunisia,Mali,1,1,0,True,0
2019-06-29,AFCON,Benin,Guinea-Bissau,0,0,0,True,0
2019-06-29,AFCON,Cameroon,Ghana,0,0,0,True,0
2019-06-29,AFCON,Mauritania,Angola,0,0,0,True,0
2019-06-30,AFCON,Uganda,Egypt,0,2,-1,True,2
2019-06-30,AFCON,Zimbabwe,Congo DR,0,4,-1,True,4
2019-06-30,AFCON,Madagascar,Nigeria,2,0,1,True,2
2019-06-30,AFCON,Burundi,Guinea,0,2,-1,True,2
2019-07-01,AFCON,Namibia,Ivory Coast,1,4,-1,True,3
2019-07-01,AFCON,South Africa,Morocco,0,1,-1,True,1
2019-07-01,AFCON,Kenya,Senegal,0,3,-1,True,3
2019-07-01,AFCON,Tanzania,Algeria,0,3,-1,True,3
2019-07-02,AFCON,Angola,Mali,0,1,-1,True,1
2019-07-02,AFCON,Mauritania,Tunisia,0,0,0,True,0
2019-07-02,AFCON,Guinea-Bissau,Ghana,0,2,-1,True,2
2019-07-02,AFCON,Benin,Cameroon,0,0,0,True,0
2019-07-05,AFCON,Uganda,Senegal,0,1,-1,True,1
2019-07-05,AFCON,Morocco,Benin,1,1,0,True,0
2019-07-06,AFCON,Egypt,South Africa,0,1,-1,True,1
2019-07-06,AFCON,Nigeria,Cameroon,3,2,1,True,1
2019-07-07,AFCON,Madagascar,Congo DR,2,2,0,True,0
2019-07-07,AFCON,Algeria,Guinea,3,0,1,True,3
2019-07-08,AFCON,Ghana,Tunisia,1,1,0,True,0
2019-07-08,AFCON,Mali,Ivory Coast,0,1,-1,True,1
2019-07-10,AFCON,Nigeria,South Africa,2,1,1,True,1
2019-07-10,AFCON,Senegal,Benin,1,0,1,True,1
2019-07-11,AFCON,Madagascar,Tunisia,0,3,-1,True,3
2019-07-11,AFCON,Ivory Coast,Algeria,1,1,0,True,0
2019-07-14,AFCON,Algeria,Nigeria,2,1,1,True,1
2019-07-14,AFCON,Senegal,Tunisia,1,0,1,True,1
2019-07-17,AFCON,Tunisia,Nigeria,0,1,-1,True,1
2019-07-19,AFCON,Senegal,Algeria,0,1,-1,True,1
2021-06-11,UEFA Euro,Türkiye,Italy,0,3,-1,True,3
2021-06-12,UEFA Euro,Wales,Switzerland,1,1,0,True,0
2021-06-12,UEFA Euro,Belgium,Russia,3,0,1,True,3
2021-06-12,UEFA Euro,Denmark,Finland,0,1,-1,True,1
2021-06-13,UEFA Euro,Netherlands,Ukraine,3,2,1,True,1
2021-06-13,UEFA Euro,Austria,North Macedonia,3,1,1,True,2
2021-06-13,UEFA Euro,England,Croatia,1,0,1,True,1
2021-06-14,UEFA Euro,Spain,Sweden,0,0,0,True,0
2021-06-14,UEFA Euro,Poland,Slovakia,1,2,-1,True,1
2021-06-14,UEFA Euro,Scotland,Czechia,0,2,-1,True,2
2021-06-15,UEFA Euro,Hungary,Portugal,0,3,-1,True,3
2021-06-15,UEFA Euro,France,Germany,1,0,1,True,1
2021-06-16,UEFA Euro,Italy,Switzerland,3,0,1,True,3
2021-06-16,UEFA Euro,Türkiye,Wales,0,2,-1,True,2
2021-06-16,UEFA Euro,Finland,Russia,0,1,-1,True,1
2021-06-17,UEFA Euro,Netherlands,Austria,2,0,1,True,2
2021-06-17,UEFA Euro,Denmark,Belgium,1,2,-1,True,1
2021-06-17,UEFA Euro,Ukraine,North Macedonia,2,1,1,True,1
2021-06-18,UEFA Euro,England,Scotland,0,0,0,True,0
2021-06-18,UEFA Euro,Croatia,Czechia,1,1,0,True,0
2021-06-18,UEFA Euro,Sweden,Slovakia,1,0,1,True,1
2021-06-19,UEFA Euro,Spain,Poland,1,1,0,True,0
2021-06-19,UEFA Euro,Hungary,France,1,1,0,True,0
2021-06-19,UEFA Euro,Portugal,Germany,2,4,-1,True,2
2021-06-20,UEFA Euro,Switzerland,Türkiye,3,1,1,True,2
2021-06-20,UEFA Euro,Italy,Wales,1,0,1,True,1
2021-06-21,UEFA Euro,Finland,Belgium,0,2,-1,True,2
2021-06-21,UEFA Euro,Russia,Denmark,1,4,-1,True,3
2021-06-21,UEFA Euro,Ukraine,Austria,0,1,-1,True,1
2021-06-21,UEFA Euro,North Macedonia,Netherlands,0,3,-1,True,3
2021-06-22,UEFA Euro,Czechia,England,0,1,-1,True,1
2021-06-22,UEFA Euro,Croatia,Scotland,3,1,1,True,2
2021-06-23,UEFA Euro,Portugal,France,2,2,0,True,0
2021-06-23,UEFA Euro,Germany,Hungary,2,2,0,True,0
2021-06-23,UEFA Euro,Sweden,Poland,3,2,1,True,1
2021-06-23,UEFA Euro,Slovakia,Spain,0,5,-1,True,5
2021-06-26,UEFA Euro,Italy,Austria,2,1,1,True,1
2021-06-26,UEFA Euro,Wales,Denmark,0,4,-1,True,4
2021-06-27,UEFA Euro,Belgium,Portugal,1,0,1,True,1
2021-06-27,UEFA Euro,Netherlands,Czechia,0,2,-1,True,2
2021-06-28,UEFA Euro,France,Switzerland,3,3,0,True,0
2021-06-28,UEFA Euro,Croatia,Spain,3,5,-1,True,2
2021-06-29,UEFA Euro,England,Germany,2,0,1,True,2
2021-06-29,UEFA Euro,Sweden,Ukraine,1,2,-1,True,1
2021-07-02,UEFA Euro,Switzerland,Spain,1,1,0,True,0
2021-07-02,UEFA Euro,Belgium,Italy,1,2,-1,True,1
2021-07-03,UEFA Euro,Czechia,Denmark,1,2,-1,True,1
2021-07-03,UEFA Euro,Ukraine,England,0,4,-1,True,4
2021-07-06,UEFA Euro,Italy,Spain,1,1,0,True,0
2021-07-07,UEFA Euro,England,Denmark,2,1,1,True,1
2021-07-11,UEFA Euro,Italy,England,1,1,0,True,0
2022-01-09,AFCON,Cameroon,Burkina Faso,2,1,1,True,1
2022-01-09,AFCON,Ethiopia,Cape Verde,0,1,-1,True,1
2022-01-10,AFCON,Guinea,Malawi,1,0,1,True,1
2022-01-10,AFCON,Morocco,Ghana,1,0,1,True,1
2022-01-10,AFCON,Comoros,Gabon,0,1,-1,True,1
2022-01-10,AFCON,Senegal,Zimbabwe,1,0,1,True,1
2022-01-11,AFCON,Sudan,Guinea-Bissau,0,0,0,True,0
2022-01-11,AFCON,Nigeria,Egypt,1,0,1,True,1
2022-01-11,AFCON,Algeria,Sierra Leone,0,0,0,True,0
2022-01-12,AFCON,Equatorial Guinea,Ivory Coast,0,1,-1,True,1
2022-01-12,AFCON,Mauritania,Gambia,0,1,-1,True,1
2022-01-12,AFCON,Tunisia,Mali,0,1,-1,True,1
2022-01-13,AFCON,Cameroon,Ethiopia,4,1,1,True,3
2022-01-13,AFCON,Cape Verde,Burkina Faso,0,1,-1,True,1
2022-01-14,AFCON,Senegal,Guinea,0,0,0,True,0
2022-01-14,AFCON,Malawi,Zimbabwe,2,1,1,True,1
2022-01-14,AFCON,Morocco,Comoros,2,0,1,True,2
2022-01-14,AFCON,Gabon,Ghana,1,1,0,True,0
2022-01-15,AFCON,Nigeria,Sudan,3,1,1,True,2
2022-01-15,AFCON,Guinea-Bissau,Egypt,0,1,-1,True,1
2022-01-16,AFCON,Ivory Coast,Sierra Leone,2,2,0,True,0
2022-01-16,AFCON,Tunisia,Mauritania,4,0,1,True,4
2022-01-16,AFCON,Algeria,Equatorial Guinea,0,1,-1,True,1
2022-01-16,AFCON,Gambia,Mali,1,1,0,True,0
2022-01-17,AFCON,Burkina Faso,Ethiopia,1,1,0,True,0
2022-01-17,AFCON,Cape Verde,Cameroon,1,1,0,True,0
2022-01-18,AFCON,Malawi,Senegal,0,0,0,True,0
2022-01-18,AFCON,Ghana,Comoros,2,3,-1,True,1
2022-01-18,AFCON,Gabon,Morocco,2,2,0,True,0
2022-01-18,AFCON,Zimbabwe,Guinea,2,1,1,True,1
2022-01-19,AFCON,Guinea-Bissau,Nigeria,0,2,-1,True,2
2022-01-19,AFCON,Egypt,Sudan,1,0,1,True,1
2022-01-20,AFCON,Mali,Mauritania,2,0,1,True,2
2022-01-20,AFCON,Gambia,Tunisia,1,0,1,True,1
2022-01-20,AFCON,Sierra Leone,Equatorial Guinea,0,1,-1,True,1
2022-01-20,AFCON,Ivory Coast,Algeria,3,1,1,True,2
2022-01-23,AFCON,Nigeria,Tunisia,0,1,-1,True,1
2022-01-23,AFCON,Burkina Faso,Gabon,1,1,0,True,0
2022-01-24,AFCON,Cameroon,Comoros,2,1,1,True,1
2022-01-24,AFCON,Guinea,Gambia,0,1,-1,True,1
2022-01-25,AFCON,Morocco,Malawi,2,1,1,True,1
2022-01-25,AFCON,Senegal,Cape Verde,2,0,1,True,2
2022-01-26,AFCON,Ivory Coast,Egypt,0,0,0,True,0
2022-01-26,AFCON,Mali,Equatorial Guinea,0,0,0,True,0
2022-01-29,AFCON,Gambia,Cameroon,0,2,-1,True,2
2022-01-29,AFCON,Burkina Faso,Tunisia,1,0,1,True,1
2022-01-30,AFCON,Egypt,Morocco,2,1,1,True,1
2022-01-30,AFCON,Senegal,Equatorial Guinea,3,1,1,True,2
2022-02-02,AFCON,Burkina Faso,Senegal,1,3,-1,True,2
2022-02-03,AFCON,Cameroon,Egypt,0,0,0,True,0
2022-02-05,AFCON,Burkina Faso,Cameroon,3,3,0,True,0
2022-02-06,AFCON,Senegal,Egypt,0,0,0,True,0
2022-11-20,World Cup,Qatar,Ecuador,0,2,-1,True,2
2022-11-21,World Cup,Senegal,Netherlands,0,2,-1,True,2
2022-11-21,World Cup,United States,Wales,1,1,0,True,0
2022-11-21,World Cup,England,Iran,6,2,1,True,4
2022-11-22,World Cup,Argentina,Saudi Arabia,1,2,-1,True,1
2022-11-22,World Cup,Denmark,Tunisia,0,0,0,True,0
2022-11-22,World Cup,Mexico,Poland,0,0,0,True,0
2022-11-22,World Cup,France,Australia,4,1,1,True,3
2022-11-23,World Cup,Morocco,Croatia,0,0,0,True,0
2022-11-23,World Cup,Germany,Japan,1,2,-1,True,1
2022-11-23,World Cup,Spain,Costa Rica,7,0,1,True,7
2022-11-23,World Cup,Belgium,Canada,1,0,1,True,1
2022-11-24,World Cup,Brazil,Serbia,2,0,1,True,2
2022-11-24,World Cup,Switzerland,Cameroon,1,0,1,True,1
2022-11-24,World Cup,Uruguay,South Korea,0,0,0,True,0
2022-11-24,World Cup,Portugal,Ghana,3,2,1,True,1
2022-11-25,World Cup,Qatar,Senegal,1,3,-1,True,2
2022-11-25,World Cup,England,United States,0,0,0,True,0
2022-11-25,World Cup,Wales,Iran,0,2,-1,True,2
2022-11-25,World Cup,Netherlands,Ecuador,1,1,0,True,0
2022-11-26,World Cup,Poland,Saudi Arabia,2,0,1,True,2
2022-11-26,World Cup,France,Denmark,2,1,1,True,1
2022-11-26,World Cup,Argentina,Mexico,2,0,1,True,2
2022-11-26,World Cup,Tunisia,Australia,0,1,-1,True,1
2022-11-27,World Cup,Japan,Costa Rica,0,1,-1,True,1
2022-11-27,World Cup,Belgium,Morocco,0,2,-1,True,2
2022-11-27,World Cup,Croatia,Canada,4,1,1,True,3
2022-11-27,World Cup,Spain,Germany,1,1,0,True,0
2022-11-28,World Cup,Brazil,Switzerland,1,0,1,True,1
2022-11-28,World Cup,Cameroon,Serbia,3,3,0,True,0
2022-11-28,World Cup,South Korea,Ghana,2,3,-1,True,1
2022-11-28,World Cup,Portugal,Uruguay,2,0,1,True,2
2022-11-29,World Cup,Netherlands,Qatar,2,0,1,True,2
2022-11-29,World Cup,Iran,United States,0,1,-1,True,1
2022-11-29,World Cup,Wales,England,0,3,-1,True,3
2022-11-29,World Cup,Ecuador,Senegal,1,2,-1,True,1
2022-11-30,World Cup,Australia,Denmark,1,0,1,True,1
2022-11-30,World Cup,Tunisia,France,1,0,1,True,1
2022-11-30,World Cup,Poland,Argentina,0,2,-1,True,2
2022-11-30,World Cup,Saudi Arabia,Mexico,1,2,-1,True,1
2022-12-01,World Cup,Croatia,Belgium,0,0,0,True,0
2022-12-01,World Cup,Costa Rica,Germany,2,4,-1,True,2
2022-12-01,World Cup,Japan,Spain,2,1,1,True,1
2022-12-01,World Cup,Canada,Morocco,1,2,-1,True,1
2022-12-02,World Cup,South Korea,Portugal,2,1,1,True,1
2022-12-02,World Cup,Ghana,Uruguay,0,2,-1,True,2
2022-12-02,World Cup,Cameroon,Brazil,1,0,1,True,1
2022-12-02,World Cup,Serbia,Switzerland,2,3,-1,True,1
2022-12-03,World Cup,Netherlands,United States,3,1,1,True,2
2022-12-03,World Cup,Argentina,Australia,2,1,1,True,1
2022-12-04,World Cup,France,Poland,3,1,1,True,2
2022-12-04,World Cup,England,Senegal,3,0,1,True,3
2022-12-05,World Cup,Japan,Croatia,1,1,0,True,0
2022-12-05,World Cup,Brazil,South Korea,4,1,1,True,3
2022-12-06,World Cup,Portugal,Switzerland,6,1,1,True,5
2022-12-06,World Cup,Morocco,Spain,0,0,0,True,0
2022-12-09,World Cup,Netherlands,Argentina,2,2,0,True,0
2022-12-09,World Cup,Croatia,Brazil,1,1,0,True,0
2022-12-10,World Cup,England,France,1,2,-1,True,1
2022-12-10,World Cup,Morocco,Portugal,1,0,1,True,1
2022-12-13,World Cup,Argentina,Croatia,3,0,1,True,3
2022-12-14,World Cup,France,Morocco,2,0,1,True,2
2022-12-17,World Cup,Croatia,Morocco,2,1,1,True,1
2022-12-18,World Cup,Argentina,France,3,3,0,True,0
2023-06-14,Nations League,Netherlands,Croatia,2,4,-1,True,2
2023-06-15,Nations League,Spain,Italy,2,1,1,True,1
2023-06-18,Nations League,Netherlands,Italy,2,3,-1,True,1
2023-06-18,Nations League,Croatia,Spain,0,0,0,True,0
2024-01-13,AFCON,Ivory Coast,Guinea-Bissau,2,0,1,True,2
2024-01-14,AFCON,Ghana,Cape Verde,1,2,-1,True,1
2024-01-14,AFCON,Egypt,Mozambique,2,2,0,True,0
2024-01-14,AFCON,Nigeria,Equatorial Guinea,1,1,0,True,0
2024-01-15,AFCON,Cameroon,Guinea,1,1,0,True,0
2024-01-15,AFCON,Algeria,Angola,1,1,0,True,0
2024-01-15,AFCON,Senegal,Gambia,3,0,1,True,3
2024-01-16,AFCON,Burkina Faso,Mauritania,1,0,1,True,1
2024-01-16,AFCON,Tunisia,Namibia,0,1,-1,True,1
2024-01-16,AFCON,Mali,South Africa,2,0,1,True,2
2024-01-17,AFCON,Morocco,Tanzania,3,0,1,True,3
2024-01-17,AFCON,Congo DR,Zambia,1,1,0,True,0
2024-01-18,AFCON,Equatorial Guinea,Guinea-Bissau,4,2,1,True,2
2024-01-18,AFCON,Ivory Coast,Nigeria,0,1,-1,True,1
2024-01-18,AFCON,Egypt,Ghana,2,2,0,True,0
2024-01-19,AFCON,Guinea,Gambia,1,0,1,True,1
2024-01-19,AFCON,Cape Verde,Mozambique,3,0,1,True,3
2024-01-19,AFCON,Senegal,Cameroon,3,1,1,True,2
2024-01-20,AFCON,Algeria,Burkina Faso,2,2,0,True,0
2024-01-20,AFCON,Mauritania,Angola,2,3,-1,True,1
2024-01-20,AFCON,Tunisia,Mali,1,1,0,True,0
2024-01-21,AFCON,Morocco,Congo DR,1,1,0,True,0
2024-01-21,AFCON,Zambia,Tanzania,1,1,0,True,0
2024-01-21,AFCON,South Africa,Namibia,4,0,1,True,4
2024-01-22,AFCON,Equatorial Guinea,Ivory Coast,4,0,1,True,4
2024-01-22,AFCON,Guinea-Bissau,Nigeria,0,1,-1,True,1
2024-01-22,AFCON,Cape Verde,Egypt,2,2,0,True,0
2024-01-22,AFCON,Mozambique,Ghana,2,2,0,True,0
2024-01-23,AFCON,Mauritania,Algeria,1,0,1,True,1
2024-01-23,AFCON,Angola,Burkina Faso,2,0,1,True,2
2024-01-23,AFCON,Guinea,Senegal,0,2,-1,True,2
2024-01-23,AFCON,Gambia,Cameroon,2,3,-1,True,1
2024-01-24,AFCON,Namibia,Mali,0,0,0,True,0
2024-01-24,AFCON,Tanzania,Congo DR,0,0,0,True,0
2024-01-24,AFCON,Zambia,Morocco,0,1,-1,True,1
2024-01-24,AFCON,South Africa,Tunisia,0,0,0,True,0
2024-01-27,AFCON,Nigeria,Cameroon,2,0,1,True,2
2024-01-27,AFCON,Angola,Namibia,3,0,1,True,3
2024-01-28,AFCON,Egypt,Congo DR,1,1,0,True,0
2024-01-28,AFCON,Equatorial Guinea,Guinea,0,1,-1,True,1
2024-01-29,AFCON,Senegal,Ivory Coast,1,1,0,True,0
2024-01-29,AFCON,Cape Verde,Mauritania,1,0,1,True,1
2024-01-30,AFCON,Morocco,South Africa,0,2,-1,True,2
2024-01-30,AFCON,Mali,Burkina Faso,2,1,1,True,1
2024-02-02,AFCON,Nigeria,Angola,1,0,1,True,1
2024-02-02,AFCON,Congo DR,Guinea,3,1,1,True,2
2024-02-03,AFCON,Cape Verde,South Africa,0,0,0,True,0
2024-02-03,AFCON,Mali,Ivory Coast,1,2,-1,True,1
2024-02-07,AFCON,Ivory Coast,Congo DR,1,0,1,True,1
2024-02-07,AFCON,Nigeria,South Africa,1,1,0,True,0
2024-02-10,AFCON,South Africa,Congo DR,0,0,0,True,0
2024-02-11,AFCON,Nigeria,Ivory Coast,1,2,-1,True,1
2024-06-14,UEFA Euro,Germany,Scotland,5,1,1,True,4
2024-06-15,UEFA Euro,Hungary,Switzerland,1,3,-1,True,2
2024-06-15,UEFA Euro,Spain,Croatia,3,0,1,True,3
2024-06-15,UEFA Euro,Italy,Albania,2,1,1,True,1
2024-06-16,UEFA Euro,Poland,Netherlands,1,2,-1,True,1
2024-06-16,UEFA Euro,Slovenia,Denmark,1,1,0,True,0
2024-06-16,UEFA Euro,Serbia,England,0,1,-1,True,1
2024-06-17,UEFA Euro,Romania,Ukraine,3,0,1,True,3
2024-06-17,UEFA Euro,Belgium,Slovakia,0,1,-1,True,1
2024-06-17,UEFA Euro,Austria,France,0,1,-1,True,1
2024-06-18,UEFA Euro,Türkiye,Georgia,3,1,1,True,2
2024-06-18,UEFA Euro,Portugal,Czechia,2,1,1,True,1
2024-06-19,UEFA Euro,Scotland,Switzerland,1,1,0,True,0
2024-06-19,UEFA Euro,Croatia,Albania,2,2,0,True,0
2024-06-19,UEFA Euro,Germany,Hungary,2,0,1,True,2
2024-06-20,UEFA Euro,Slovenia,Serbia,1,1,0,True,0
2024-06-20,UEFA Euro,Spain,Italy,1,0,1,True,1
2024-06-20,UEFA Euro,Denmark,England,1,1,0,True,0
2024-06-21,UEFA Euro,Netherlands,France,0,0,0,True,0
2024-06-21,UEFA Euro,Slovakia,Ukraine,1,2,-1,True,1
2024-06-21,UEFA Euro,Poland,Austria,1,3,-1,True,2
2024-06-22,UEFA Euro,Belgium,Romania,2,0,1,True,2
2024-06-22,UEFA Euro,Türkiye,Portugal,0,3,-1,True,3
2024-06-22,UEFA Euro,Georgia,Czechia,1,1,0,True,0
2024-06-23,UEFA Euro,Switzerland,Germany,1,1,0,True,0
2024-06-23,UEFA Euro,Scotland,Hungary,0,1,-1,True,1
2024-06-24,UEFA Euro,Albania,Spain,0,1,-1,True,1
2024-06-24,UEFA Euro,Croatia,Italy,1,1,0,True,0
2024-06-25,UEFA Euro,Denmark,Serbia,0,0,0,True,0
2024-06-25,UEFA Euro,France,Poland,1,1,0,True,0
2024-06-25,UEFA Euro,Netherlands,Austria,2,3,-1,True,1
2024-06-25,UEFA Euro,England,Slovenia,0,0,0,True,0
2024-06-26,UEFA Euro,Slovakia,Romania,1,1,0,True,0
2024-06-26,UEFA Euro,Georgia,Portugal,2,0,1,True,2
2024-06-26,UEFA Euro,Czechia,Türkiye,1,2,-1,True,1
2024-06-26,UEFA Euro,Ukraine,Belgium,0,0,0,True,0
2024-06-29,UEFA Euro,Germany,Denmark,2,0,1,True,2
2024-06-29,UEFA Euro,Switzerland,Italy,2,0,1,True,2
2024-06-30,UEFA Euro,Spain,Georgia,4,1,1,True,3
2024-06-30,UEFA Euro,England,Slovakia,2,1,1,True,1
2024-07-01,UEFA Euro,France,Belgium,1,0,1,True,1
2024-07-01,UEFA Euro,Portugal,Slovenia,0,0,0,True,0
2024-07-02,UEFA Euro,Austria,Türkiye,1,2,-1,True,1
2024-07-02,UEFA Euro,Romania,Netherlands,0,3,-1,True,3
2024-07-05,UEFA Euro,Portugal,France,0,0,0,True,0
2024-07-05,UEFA Euro,Spain,Germany,2,1,1,True,1
2024-07-06,UEFA Euro,Netherlands,Türkiye,2,1,1,True,1
2024-07-06,UEFA Euro,England,Switzerland,1,1,0,True,0
2024-07-09,UEFA Euro,Spain,France,2,1,1,True,1
2024-07-10,UEFA Euro,Netherlands,England,1,2,-1,True,1
2024-07-14,UEFA Euro,Spain,England,2,1,1,True,1
2024-10-10,Nations League,Norway,Slovenia,3,0,1,True,3
2024-10-10,Nations League,Israel,France,1,4,-1,True,3
2024-10-10,Nations League,Gibraltar,San Marino,1,0,1,True,1
2024-10-10,Nations League,Finland,Republic of Ireland,1,2,-1,True,1
2024-10-10,Nations League,Italy,Belgium,2,2,0,True,0
2024-10-10,Nations League,England,Greece,1,2,-1,True,1
2024-10-10,Nations League,Austria,Kazakhstan,4,0,1,True,4
2024-10-10,Nations League,Moldova,Andorra,2,0,1,True,2
2024-10-10,Nations League,Latvia,North Macedonia,0,3,-1,True,3
2024-10-10,Nations League,Faroe Islands,Armenia,2,2,0,True,0
2024-10-11,Nations League,Türkiye,Montenegro,1,0,1,True,1
2024-10-11,Nations League,Estonia,Azerbaijan,3,1,1,True,2
2024-10-11,Nations League,Bosnia-Herzegovina,Germany,1,2,-1,True,1
2024-10-11,Nations League,Czechia,Albania,2,0,1,True,2
2024-10-11,Nations League,Hungary,Netherlands,1,1,0,True,0
2024-10-11,Nations League,Iceland,Wales,2,2,0,True,0
2024-10-11,Nations League,Slovakia,Sweden,2,2,0,True,0
2024-10-11,Nations League,Ukraine,Georgia,1,0,1,True,1
2024-10-12,Nations League,Spain,Denmark,1,0,1,True,1
2024-10-12,Nations League,Serbia,Switzerland,2,0,1,True,2
2024-10-12,Nations League,Poland,Portugal,1,3,-1,True,2
2024-10-12,Nations League,Cyprus,Romania,0,3,-1,True,3
2024-10-12,Nations League,Croatia,Scotland,2,1,1,True,1
2024-10-12,Nations League,Bulgaria,Luxembourg,0,0,0,True,0
2024-10-12,Nations League,Lithuania,Kosovo,1,2,-1,True,1
2024-10-12,Nations League,Belarus,Northern Ireland,0,0,0,True,0
2024-10-13,Nations League,Faroe Islands,Latvia,1,1,0,True,0
2024-10-13,Nations League,Kazakhstan,Slovenia,0,1,-1,True,1
2024-10-13,Nations League,Armenia,North Macedonia,0,2,-1,True,2
2024-10-13,Nations League,Finland,England,1,3,-1,True,2
2024-10-13,Nations League,Liechtenstein,Gibraltar,0,0,0,True,0
2024-10-13,Nations League,Malta,Moldova,1,0,1,True,1
2024-10-13,Nations League,Austria,Norway,5,1,1,True,4
2024-10-13,Nations League,Greece,Republic of Ireland,2,0,1,True,2
2024-10-14,Nations League,Italy,Israel,4,1,1,True,3
2024-10-14,Nations League,Iceland,Türkiye,2,4,-1,True,2
2024-10-14,Nations League,Germany,Netherlands,1,0,1,True,1
2024-10-14,Nations League,Estonia,Sweden,0,3,-1,True,3
2024-10-14,Nations League,Azerbaijan,Slovakia,1,3,-1,True,2
2024-10-14,Nations League,Belgium,France,1,2,-1,True,1
2024-10-14,Nations League,Georgia,Albania,0,1,-1,True,1
2024-10-14,Nations League,Ukraine,Czechia,1,1,0,True,0
2024-10-14,Nations League,Bosnia-Herzegovina,Hungary,0,2,-1,True,2
2024-10-14,Nations League,Wales,Montenegro,1,0,1,True,1
2024-10-15,Nations League,Poland,Croatia,3,3,0,True,0
2024-10-15,Nations League,Scotland,Portugal,0,0,0,True,0
2024-10-15,Nations League,Northern Ireland,Bulgaria,5,0,1,True,5
2024-10-15,Nations League,Spain,Serbia,3,0,1,True,3
2024-10-15,Nations League,Kosovo,Cyprus,3,0,1,True,3
2024-10-15,Nations League,Belarus,Luxembourg,1,1,0,True,0
2024-10-15,Nations League,Lithuania,Romania,1,2,-1,True,1
2024-10-15,Nations League,Switzerland,Denmark,2,2,0,True,0
