id,season,week,season_type,start_date,home_team,away_team,home_conference,away_conference,home_points,away_points,neutral_site,conference_game,venue
401756846,2025,1,regular,2025-08-23 16:00:00,Kansas State,Iowa State,Big 12,Big 12,21.0,24.0,True,True,Aviva Stadium
401767476,2025,1,regular,2025-08-23 17:00:00,Nicholls,Incarnate Word,Southland,Southland,20.0,6.0,False,True,Manning Field at John L. Guidry Stadium
401760371,2025,1,regular,2025-08-23 20:00:00,UNLV,Idaho State,Mountain West,Big Sky,38.0,31.0,False,False,Allegiant Stadium
401767126,2025,1,regular,2025-08-23 20:30:00,Portland State,Tarleton State,Big Sky,UAC,0.0,42.0,False,False,Hillsboro Stadium
401756847,2025,1,regular,2025-08-23 22:30:00,Kansas,Fresno State,Big 12,Mountain West,31.0,7.0,False,False,Memorial Stadium
401757218,2025,1,regular,2025-08-23 23:00:00,Western Kentucky,Sam Houston,Conference USA,Conference USA,41.0,24.0,False,True,Houchens Industries-L.T. Smith Stadium
401767410,2025,1,regular,2025-08-23 23:30:00,Southern,North Carolina Central,SWAC,MEAC,14.0,31.0,True,False,Center Parc Stadium
401754516,2025,1,regular,2025-08-23 23:30:00,Hawai'i,Stanford,Mountain West,ACC,23.0,20.0,False,False,Clarence T.C. Ching Athletics Complex
401773590,2025,1,regular,2025-08-28 20:00:00,Central Washington,Colorado Mesa,Lone Star,Rocky Mountain,41.0,14.0,False,False,Tomlinson Stadium
401762522,2025,1,regular,2025-08-28 21:30:00,South Florida,Boise State,American Athletic,Mountain West,34.0,7.0,False,False,Raymond James Stadium
401773397,2025,1,regular,2025-08-28 22:00:00,Marian (IN),Indianapolis,,Great Lakes,21.0,45.0,True,False,St. Vincent Health Field
401773478,2025,1,regular,2025-08-28 22:00:00,Northern Michigan,Minnesota St Moorhead,GLIAC,Northern Sun,37.0,44.0,False,False,Superior Dome
401752794,2025,1,regular,2025-08-28 22:00:00,Rutgers,Ohio,Big Ten,Mid-American,34.0,31.0,False,False,SHI Stadium
401762790,2025,1,regular,2025-08-28 22:00:00,Bowling Green,Lafayette,Mid-American,Patriot,26.0,7.0,False,False,Doyt L. Perry Stadium
401773643,2025,1,regular,2025-08-28 22:00:00,Ferris State,Pittsburg State,GLIAC,Mid America,34.0,17.0,False,False,Top Taggart Field
401773470,2025,1,regular,2025-08-28 22:00:00,Michigan Tech,Bemidji State,GLIAC,Northern Sun,37.0,17.0,False,False,Sherman Field
401767446,2025,1,regular,2025-08-28 22:00:00,Indiana State,McKendree,MVFC,Great Lakes,41.0,24.0,False,False,Memorial Stadium
401773703,2025,1,regular,2025-08-28 22:00:00,Clarion,Wheeling,Pennsylvania State Athletic,Mountain East,34.0,0.0,False,False,"Memorial Stadium (Clarion, PA)"
