date,home_team,away_team,home_score,away_score
2022-10-18,BOSTON CELTICS,PHILADELPHIA 76ERS,126,117
2022-10-19,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS,123,109
2022-10-19,DETROIT PISTONS,ORLANDO MAGIC,113,109
2022-10-19,INDIANA PACERS,WASHINGTON WIZARDS,107,114
2022-10-19,ATLANTA HAWKS,HOUSTON ROCKETS,117,107
2022-10-19,BROOKLYN NETS,NEW ORLEANS PELICANS,108,130
2022-10-19,MEMPHIS GRIZZLIES,NEW YORK KNICKS,115,112
2022-10-19,MIAMI HEAT,CHICAGO BULLS,108,116
2022-10-19,TORONTO RAPTORS,CLEVELAND CAVALIERS,108,105
2022-10-20,MINNESOTA TIMBERWOLVES,OKLAHOMA CITY THUNDER,115,108
2022-10-20,SAN ANTONIO SPURS,CHARLOTTE HORNETS,102,129
2022-10-20,UTAH JAZZ,DENVER NUGGETS,123,102
2022-10-20,PHOENIX SUNS,DALLAS MAVERICKS,107,105
2022-10-20,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,108,115
2022-10-20,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,88,90
2022-10-21,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,97,103
2022-10-21,CHARLOTTE HORNETS,NEW ORLEANS PELICANS,112,124
2022-10-21,INDIANA PACERS,SAN ANTONIO SPURS,134,137
2022-10-21,WASHINGTON WIZARDS,CHICAGO BULLS,102,100
2022-10-21,ATLANTA HAWKS,ORLANDO MAGIC,108,98
2022-10-21,BROOKLYN NETS,TORONTO RAPTORS,109,105
2022-10-21,MIAMI HEAT,BOSTON CELTICS,104,111
2022-10-21,NEW YORK KNICKS,DETROIT PISTONS,130,106
2022-10-22,HOUSTON ROCKETS,MEMPHIS GRIZZLIES,122,129
2022-10-22,MINNESOTA TIMBERWOLVES,UTAH JAZZ,126,132
2022-10-22,GOLDEN STATE WARRIORS,DENVER NUGGETS,123,128
2022-10-22,PORTLAND TRAIL BLAZERS,PHOENIX SUNS,113,111
2022-10-22,PHILADELPHIA 76ERS,SAN ANTONIO SPURS,105,114
2022-10-22,INDIANA PACERS,DETROIT PISTONS,124,115
2022-10-22,ORLANDO MAGIC,BOSTON CELTICS,120,126
2022-10-23,CHICAGO BULLS,CLEVELAND CAVALIERS,96,128
2022-10-23,MIAMI HEAT,TORONTO RAPTORS,112,109
2022-10-23,MILWAUKEE BUCKS,HOUSTON ROCKETS,125,105
2022-10-23,DALLAS MAVERICKS,MEMPHIS GRIZZLIES,137,96
2022-10-23,DENVER NUGGETS,OKLAHOMA CITY THUNDER,122,117
2022-10-23,SACRAMENTO KINGS,LOS ANGELES CLIPPERS,109,111
2022-10-23,LOS ANGELES LAKERS,PORTLAND TRAIL BLAZERS,104,106
2022-10-23,ATLANTA HAWKS,CHARLOTTE HORNETS,109,126
2022-10-23,CLEVELAND CAVALIERS,WASHINGTON WIZARDS,117,107
2022-10-23,NEW ORLEANS PELICANS,UTAH JAZZ,121,122
2022-10-24,OKLAHOMA CITY THUNDER,MINNESOTA TIMBERWOLVES,106,116
2022-10-24,GOLDEN STATE WARRIORS,SACRAMENTO KINGS,130,125
2022-10-24,LOS ANGELES CLIPPERS,PHOENIX SUNS,95,112
2022-10-24,PHILADELPHIA 76ERS,INDIANA PACERS,120,106
2022-10-24,MIAMI HEAT,TORONTO RAPTORS,90,98
2022-10-24,NEW YORK KNICKS,ORLANDO MAGIC,115,102
2022-10-25,CHICAGO BULLS,BOSTON CELTICS,120,102
2022-10-25,HOUSTON ROCKETS,UTAH JAZZ,114,108
2022-10-25,MEMPHIS GRIZZLIES,BROOKLYN NETS,134,124
2022-10-25,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,106,115
2022-10-25,PORTLAND TRAIL BLAZERS,DENVER NUGGETS,135,110
2022-10-25,WASHINGTON WIZARDS,DETROIT PISTONS,120,99
2022-10-25,NEW ORLEANS PELICANS,DALLAS MAVERICKS,113,111
2022-10-26,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,108,94
2022-10-26,PHOENIX SUNS,GOLDEN STATE WARRIORS,134,105
2022-10-26,CLEVELAND CAVALIERS,ORLANDO MAGIC,103,92
2022-10-26,DETROIT PISTONS,ATLANTA HAWKS,113,118
2022-10-26,MILWAUKEE BUCKS,BROOKLYN NETS,110,99
2022-10-26,NEW YORK KNICKS,CHARLOTTE HORNETS,134,131
2022-10-26,TORONTO RAPTORS,PHILADELPHIA 76ERS,119,109
2022-10-27,CHICAGO BULLS,INDIANA PACERS,124,109
2022-10-27,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,134,122
2022-10-27,UTAH JAZZ,HOUSTON ROCKETS,109,101
2022-10-27,DENVER NUGGETS,LOS ANGELES LAKERS,110,99
2022-10-27,PORTLAND TRAIL BLAZERS,MIAMI HEAT,98,119
2022-10-27,BROOKLYN NETS,DALLAS MAVERICKS,125,129
2022-10-28,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,118,110
2022-10-28,GOLDEN STATE WARRIORS,MIAMI HEAT,123,110
2022-10-28,SACRAMENTO KINGS,MEMPHIS GRIZZLIES,110,125
2022-10-28,DETROIT PISTONS,ATLANTA HAWKS,112,136
2022-10-28,ORLANDO MAGIC,CHARLOTTE HORNETS,113,93
2022-10-28,BOSTON CELTICS,CLEVELAND CAVALIERS,123,132
2022-10-28,TORONTO RAPTORS,PHILADELPHIA 76ERS,90,112
2022-10-28,WASHINGTON WIZARDS,INDIANA PACERS,117,127
2022-10-29,MILWAUKEE BUCKS,NEW YORK KNICKS,119,108
2022-10-29,MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,111,102
2022-10-29,SAN ANTONIO SPURS,CHICAGO BULLS,129,124
2022-10-29,DENVER NUGGETS,UTAH JAZZ,117,101
2022-10-29,PHOENIX SUNS,NEW ORLEANS PELICANS,124,111
2022-10-29,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,125,111
2022-10-29,SACRAMENTO KINGS,MIAMI HEAT,119,113
2022-10-29,CHARLOTTE HORNETS,GOLDEN STATE WARRIORS,120,113
2022-10-29,BROOKLYN NETS,INDIANA PACERS,116,125
2022-10-30,CHICAGO BULLS,PHILADELPHIA 76ERS,109,114
2022-10-30,MILWAUKEE BUCKS,ATLANTA HAWKS,123,115
2022-10-30,DALLAS MAVERICKS,OKLAHOMA CITY THUNDER,111,117
2022-10-30,UTAH JAZZ,MEMPHIS GRIZZLIES,124,123
2022-10-30,LOS ANGELES CLIPPERS,NEW ORLEANS PELICANS,91,112
2022-10-30,BOSTON CELTICS,WASHINGTON WIZARDS,112,94
2022-10-30,CLEVELAND CAVALIERS,NEW YORK KNICKS,121,108
2022-10-30,DETROIT PISTONS,GOLDEN STATE WARRIORS,128,114
2022-10-30,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,107,98
2022-10-30,DALLAS MAVERICKS,ORLANDO MAGIC,114,105
2022-10-31,PHOENIX SUNS,HOUSTON ROCKETS,124,109
2022-10-31,LOS ANGELES LAKERS,DENVER NUGGETS,121,110
2022-10-31,CHARLOTTE HORNETS,SACRAMENTO KINGS,108,115
2022-10-31,WASHINGTON WIZARDS,PHILADELPHIA 76ERS,111,118
2022-10-31,BROOKLYN NETS,INDIANA PACERS,116,109
2022-10-31,TORONTO RAPTORS,ATLANTA HAWKS,139,109
2022-11-01,MILWAUKEE BUCKS,DETROIT PISTONS,110,108
2022-11-01,UTAH JAZZ,MEMPHIS GRIZZLIES,121,105
