date,home_team,away_team,home_score,away_score
2023-10-24,DENVER NUGGETS,LOS ANGELES LAKERS,119,107
2023-10-25,GOLDEN STATE WARRIORS,PHOENIX SUNS,104,108
2023-10-25,ORLANDO MAGIC,HOUSTON ROCKETS,116,86
2023-10-25,NEW YORK KNICKS,BOSTON CELTICS,104,108
2023-10-25,INDIANA PACERS,WASHINGTON WIZARDS,143,120
2023-10-25,CHARLOTTE HORNETS,ATLANTA HAWKS,116,110
2023-10-25,MIAMI HEAT,DETROIT PISTONS,103,102
2023-10-25,TORONTO RAPTORS,MINNESOTA TIMBERWOLVES,97,94
2023-10-25,BROOKLYN NETS,CLEVELAND CAVALIERS,113,114
2023-10-26,MEMPHIS GRIZZLIES,NEW ORLEANS PELICANS,104,111
2023-10-26,CHICAGO BULLS,OKLAHOMA CITY THUNDER,104,124
2023-10-26,UTAH JAZZ,SACRAMENTO KINGS,114,130
2023-10-26,SAN ANTONIO SPURS,DALLAS MAVERICKS,119,126
2023-10-26,LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,123,111
2023-10-26,MILWAUKEE BUCKS,PHILADELPHIA 76ERS,118,117
2023-10-27,LOS ANGELES LAKERS,PHOENIX SUNS,100,95
2023-10-27,MEMPHIS GRIZZLIES,DENVER NUGGETS,104,108
2023-10-27,CHARLOTTE HORNETS,DETROIT PISTONS,99,111
2023-10-27,ATLANTA HAWKS,NEW YORK KNICKS,120,126
2023-10-27,CLEVELAND CAVALIERS,OKLAHOMA CITY THUNDER,105,108
2023-10-27,BOSTON CELTICS,MIAMI HEAT,119,111
2023-10-28,CHICAGO BULLS,TORONTO RAPTORS,104,103
2023-10-28,SAN ANTONIO SPURS,HOUSTON ROCKETS,126,122
2023-10-28,DALLAS MAVERICKS,BROOKLYN NETS,125,120
2023-10-28,UTAH JAZZ,LOS ANGELES CLIPPERS,120,118
2023-10-28,PORTLAND TRAIL BLAZERS,ORLANDO MAGIC,97,102
2023-10-28,SACRAMENTO KINGS,GOLDEN STATE WARRIORS,114,122
2023-10-28,DETROIT PISTONS,CHICAGO BULLS,118,102
2023-10-28,WASHINGTON WIZARDS,MEMPHIS GRIZZLIES,113,106
2023-10-28,NEW ORLEANS PELICANS,NEW YORK KNICKS,96,87
2023-10-28,CLEVELAND CAVALIERS,INDIANA PACERS,113,125
2023-10-28,TORONTO RAPTORS,PHILADELPHIA 76ERS,107,114
2023-10-29,MINNESOTA TIMBERWOLVES,MIAMI HEAT,106,90
2023-10-29,PHOENIX SUNS,UTAH JAZZ,126,104
2023-10-29,OKLAHOMA CITY THUNDER,DENVER NUGGETS,95,128
2023-10-29,HOUSTON ROCKETS,GOLDEN STATE WARRIORS,95,106
2023-10-29,MILWAUKEE BUCKS,ATLANTA HAWKS,110,127
2023-10-29,PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS,126,98
2023-10-30,LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,123,83
2023-10-30,SACRAMENTO KINGS,LOS ANGELES LAKERS,132,127
2023-10-30,INDIANA PACERS,CHICAGO BULLS,105,112
2023-10-30,WASHINGTON WIZARDS,BOSTON CELTICS,107,126
2023-10-30,CHARLOTTE HORNETS,BROOKLYN NETS,121,133
2023-10-30,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,91,99
2023-10-30,ATLANTA HAWKS,MINNESOTA TIMBERWOLVES,127,113
2023-10-31,MEMPHIS GRIZZLIES,DALLAS MAVERICKS,110,125
2023-10-31,MILWAUKEE BUCKS,MIAMI HEAT,122,114
2023-10-31,NEW ORLEANS PELICANS,GOLDEN STATE WARRIORS,102,130
2023-10-31,OKLAHOMA CITY THUNDER,DETROIT PISTONS,124,112
2023-10-31,DENVER NUGGETS,UTAH JAZZ,110,102
2023-10-31,LOS ANGELES LAKERS,ORLANDO MAGIC,106,103
2023-10-31,CLEVELAND CAVALIERS,NEW YORK KNICKS,91,109
2023-11-01,PHOENIX SUNS,SAN ANTONIO SPURS,114,115
2023-11-01,LOS ANGELES CLIPPERS,ORLANDO MAGIC,118,102
