date,home_team,away_team,home_score,away_score
2021-10-19,MILWAUKEE BUCKS,BROOKLYN NETS,127,104
2021-10-20,LOS ANGELES LAKERS,GOLDEN STATE WARRIORS,114,121
2021-10-20,CHARLOTTE HORNETS,INDIANA PACERS,123,122
2021-10-20,DETROIT PISTONS,CHICAGO BULLS,88,94
2021-10-20,NEW YORK KNICKS,BOSTON CELTICS,138,134
2021-10-20,TORONTO RAPTORS,WASHINGTON WIZARDS,83,98
2021-10-21,MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS,132,121
2021-10-21,MINNESOTA TIMBERWOLVES,HOUSTON ROCKETS,124,106
2021-10-21,NEW ORLEANS PELICANS,PHILADELPHIA 76ERS,97,117
2021-10-21,SAN ANTONIO SPURS,ORLANDO MAGIC,123,97
2021-10-21,UTAH JAZZ,OKLAHOMA CITY THUNDER,107,86
2021-10-21,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,121,124
2021-10-21,PHOENIX SUNS,DENVER NUGGETS,98,110
2021-10-21,ATLANTA HAWKS,DALLAS MAVERICKS,113,87
2021-10-22,MIAMI HEAT,MILWAUKEE BUCKS,137,95
2021-10-22,GOLDEN STATE WARRIORS,LOS ANGELES CLIPPERS,115,113
2021-10-22,ORLANDO MAGIC,NEW YORK KNICKS,96,121
2021-10-22,WASHINGTON WIZARDS,INDIANA PACERS,135,134
2021-10-22,CLEVELAND CAVALIERS,CHARLOTTE HORNETS,112,123
2021-10-22,BOSTON CELTICS,TORONTO RAPTORS,83,115
2021-10-22,PHILADELPHIA 76ERS,BROOKLYN NETS,109,114
2021-10-23,HOUSTON ROCKETS,OKLAHOMA CITY THUNDER,124,91
2021-10-23,CHICAGO BULLS,NEW ORLEANS PELICANS,128,112
2021-10-23,DENVER NUGGETS,SAN ANTONIO SPURS,102,96
2021-10-23,LOS ANGELES LAKERS,PHOENIX SUNS,105,115
2021-10-23,SACRAMENTO KINGS,UTAH JAZZ,101,110
2021-10-23,CLEVELAND CAVALIERS,ATLANTA HAWKS,101,95
2021-10-23,INDIANA PACERS,MIAMI HEAT,102,91
2021-10-23,TORONTO RAPTORS,DALLAS MAVERICKS,95,103
2021-10-24,CHICAGO BULLS,DETROIT PISTONS,97,82
2021-10-24,MINNESOTA TIMBERWOLVES,NEW ORLEANS PELICANS,96,89
2021-10-24,SAN ANTONIO SPURS,MILWAUKEE BUCKS,111,121
2021-10-24,PORTLAND TRAIL BLAZERS,PHOENIX SUNS,134,105
2021-10-24,LOS ANGELES CLIPPERS,MEMPHIS GRIZZLIES,114,120
2021-10-24,BROOKLYN NETS,CHARLOTTE HORNETS,95,111
2021-10-24,HOUSTON ROCKETS,BOSTON CELTICS,97,107
2021-10-24,NEW YORK KNICKS,ORLANDO MAGIC,104,110
2021-10-24,OKLAHOMA CITY THUNDER,PHILADELPHIA 76ERS,103,115
2021-10-25,SACRAMENTO KINGS,GOLDEN STATE WARRIORS,107,119
2021-10-25,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,121,118
2021-10-25,CHARLOTTE HORNETS,BOSTON CELTICS,129,140
2021-10-25,INDIANA PACERS,MILWAUKEE BUCKS,109,119
2021-10-25,TORONTO RAPTORS,CHICAGO BULLS,108,111
2021-10-25,MIAMI HEAT,ORLANDO MAGIC,107,90
2021-10-25,BROOKLYN NETS,WASHINGTON WIZARDS,104,90
2021-10-25,ATLANTA HAWKS,DETROIT PISTONS,122,104
2021-10-26,MINNESOTA TIMBERWOLVES,NEW ORLEANS PELICANS,98,107
2021-10-26,DENVER NUGGETS,CLEVELAND CAVALIERS,87,99
2021-10-26,LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,116,86
2021-10-26,NEW YORK KNICKS,PHILADELPHIA 76ERS,112,99
2021-10-27,OKLAHOMA CITY THUNDER,GOLDEN STATE WARRIORS,98,106
2021-10-27,SAN ANTONIO SPURS,LOS ANGELES LAKERS,121,125
2021-10-27,DALLAS MAVERICKS,HOUSTON ROCKETS,116,106
2021-10-27,UTAH JAZZ,DENVER NUGGETS,122,110
2021-10-27,ORLANDO MAGIC,CHARLOTTE HORNETS,111,120
2021-10-27,BOSTON CELTICS,WASHINGTON WIZARDS,107,116
2021-10-27,BROOKLYN NETS,MIAMI HEAT,93,106
2021-10-27,TORONTO RAPTORS,INDIANA PACERS,118,100
2021-10-27,NEW ORLEANS PELICANS,ATLANTA HAWKS,99,102
2021-10-28,MILWAUKEE BUCKS,MINNESOTA TIMBERWOLVES,108,113
2021-10-28,OKLAHOMA CITY THUNDER,LOS ANGELES LAKERS,123,115
2021-10-28,PHOENIX SUNS,SACRAMENTO KINGS,107,110
2021-10-28,PORTLAND TRAIL BLAZERS,MEMPHIS GRIZZLIES,116,96
2021-10-28,LOS ANGELES CLIPPERS,CLEVELAND CAVALIERS,79,92
2021-10-28,WASHINGTON WIZARDS,ATLANTA HAWKS,122,111
2021-10-28,PHILADELPHIA 76ERS,DETROIT PISTONS,110,102
2021-10-29,HOUSTON ROCKETS,UTAH JAZZ,91,122
2021-10-29,CHICAGO BULLS,NEW YORK KNICKS,103,104
2021-10-29,DALLAS MAVERICKS,SAN ANTONIO SPURS,104,99
2021-10-29,GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,101,104
2021-10-29,TORONTO RAPTORS,ORLANDO MAGIC,110,109
2021-10-29,MIAMI HEAT,CHARLOTTE HORNETS,114,99
2021-10-29,BROOKLYN NETS,INDIANA PACERS,105,98
2021-10-30,NEW ORLEANS PELICANS,SACRAMENTO KINGS,109,113
2021-10-30,DENVER NUGGETS,DALLAS MAVERICKS,106,75
2021-10-30,PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,111,92
2021-10-30,LOS ANGELES LAKERS,CLEVELAND CAVALIERS,113,101
2021-10-30,WASHINGTON WIZARDS,BOSTON CELTICS,115,112
2021-10-30,DETROIT PISTONS,ORLANDO MAGIC,110,103
2021-10-30,NEW ORLEANS PELICANS,NEW YORK KNICKS,117,123
2021-10-30,INDIANA PACERS,TORONTO RAPTORS,94,97
2021-10-30,PHILADELPHIA 76ERS,ATLANTA HAWKS,122,94
2021-10-31,CHICAGO BULLS,UTAH JAZZ,107,99
2021-10-31,MEMPHIS GRIZZLIES,MIAMI HEAT,103,129
2021-10-31,MILWAUKEE BUCKS,SAN ANTONIO SPURS,93,102
2021-10-31,GOLDEN STATE WARRIORS,OKLAHOMA CITY THUNDER,103,82
2021-10-31,MINNESOTA TIMBERWOLVES,DENVER NUGGETS,91,93
2021-10-31,PHOENIX SUNS,CLEVELAND CAVALIERS,101,92
2021-10-31,DALLAS MAVERICKS,SACRAMENTO KINGS,105,99
2021-10-31,CHARLOTTE HORNETS,PORTLAND TRAIL BLAZERS,125,113
2021-10-31,MILWAUKEE BUCKS,UTAH JAZZ,95,107
2021-10-31,BROOKLYN NETS,DETROIT PISTONS,117,91
2021-11-01,LOS ANGELES LAKERS,HOUSTON ROCKETS,95,85
2021-11-01,CHARLOTTE HORNETS,CLEVELAND CAVALIERS,110,113
2021-11-01,INDIANA PACERS,SAN ANTONIO SPURS,131,118
2021-11-01,PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS,113,103
2021-11-01,ATLANTA HAWKS,WASHINGTON WIZARDS,118,111
2021-11-01,BOSTON CELTICS,CHICAGO BULLS,114,128
2021-11-01,NEW YORK KNICKS,TORONTO RAPTORS,104,113
2021-11-02,MEMPHIS GRIZZLIES,DENVER NUGGETS,106,97
2021-11-02,MINNESOTA TIMBERWOLVES,ORLANDO MAGIC,97,115
2021-11-02,LOS ANGELES CLIPPERS,OKLAHOMA CITY THUNDER,99,94
2021-11-02,DETROIT PISTONS,MILWAUKEE BUCKS,89,117
2021-11-02,DALLAS MAVERICKS,MIAMI HEAT,110,125
2021-11-03,UTAH JAZZ,SACRAMENTO KINGS,119,113
2021-11-03,PHOENIX SUNS,NEW ORLEANS PELICANS,112,100
2021-11-03,LOS ANGELES LAKERS,HOUSTON ROCKETS,119,117
2021-11-03,CLEVELAND CAVALIERS,PORTLAND TRAIL BLAZERS,107,104
